Id,Player,Said,To,In response to,Created at
182612,Player #35330,5,ubc air quality sensor,"On a scale of 1-5, what do you think of the air quality on UBC's campus? (1 being very poor, 5 being very good). ",2021-07-28 05:44:42 UTC
182611,Player #35330,Yes,ubc air quality sensor,"Do you like to get involved in recreational activities around UBC? (Yes, No)",2021-07-28 05:44:15 UTC
182610,Player #35330,Yes,ubc air quality sensor,"Would you like to receive notifications about air quality via your mobile phone? 📲 (Yes, No)",2021-07-28 05:44:09 UTC
182609,Player #35330,Wildfires,ubc air quality sensor,"In your opinion, which environmental impact is of most concern to UBC/Vancouver? 🌍",2021-07-28 05:44:01 UTC
182608,Player #35330,Low risk,ubc air quality sensor,"Do you think UBC's campus has been deemed 'Low-Risk' or 'High-Risk', by British Columbia's Air Quality Health Index? ",2021-07-28 05:43:00 UTC
182607,Player #35330,Hello AQS #7,ubc air quality sensor,,2021-07-28 05:42:33 UTC
182605,Player #25003,No,ubc air quality sensor,"Do you drive to campus? 🚗 (Yes, No)",2021-07-28 02:14:51 UTC
182604,Player #25003,Deforestation of old growth forests,ubc air quality sensor,What environmental impact should be of most concern to UBC/Vancouver? 🌍,2021-07-28 01:55:26 UTC
182603,Player #25003,Hello AQS #2,ubc air quality sensor,,2021-07-28 01:53:16 UTC
182596,Player #35327,Low,ubc air quality sensor,"Would you rather 'High-quality' sensors at a few locations on UBC's campus, or 'Low-cost' sensors at every intersection on UBC campus? Please respond to this message with 'High' or 'Low'.",2021-07-27 21:32:09 UTC
182595,Player #35327,Busses,ubc air quality sensor,"In your opinion, what are the biggest sources of air pollution on UBC's campus? ",2021-07-27 21:31:45 UTC
182594,Player #35327,No,ubc air quality sensor,"Do you drive to campus? 🚗 (Yes, No)",2021-07-27 21:31:29 UTC
182593,Player #35327,"Traffic, restaurants",ubc air quality sensor,I'm here to identify different sources of pollution - can you name any?,2021-07-27 21:31:18 UTC
182592,Player #35327,Yes,ubc air quality sensor,"In addition to the air quality sensors around UBC, would you like to see air quality sensors around your home and near major traffic intersections? (Yes, No)",2021-07-27 21:30:56 UTC
182591,Player #35327,Hello AQS #5,ubc air quality sensor,,2021-07-27 21:30:37 UTC
182586,Player #35324,Haze,ubc air quality sensor,What are indicators of poor air quality?,2021-07-27 18:47:32 UTC
182585,Player #35324,Rapid air multipollutant,ubc air quality sensor,What do you think RAMP stands for?,2021-07-27 18:47:23 UTC
182584,Player #35324,Ozone,ubc air quality sensor,What kind of air pollution annoys you the most? 😡,2021-07-27 18:46:56 UTC
182583,Player #35324,Often,ubc air quality sensor,How often do you think about air pollution and the dangers it has on your health?,2021-07-27 18:46:46 UTC
182582,Player #35324,Yes,ubc air quality sensor,"In addition to the air quality sensors around UBC, would you like to see air quality sensors around your home and near major traffic intersections? (Yes, No)",2021-07-27 18:46:36 UTC
182581,Player #35324,Hello AQS #5,ubc air quality sensor,,2021-07-27 18:46:24 UTC
182539,Player #35315,No,ubc air quality sensor,Is there a particular period of the day ⏰when you notice air quality becoming worse?,2021-07-27 17:28:22 UTC
182538,Player #35315,Smokey,ubc air quality sensor,What are indicators of poor air quality?,2021-07-27 17:28:08 UTC
182537,Player #35315,No,ubc air quality sensor,"Do you feel like you know a lot about air pollution on UBC campus? (Yes, No)",2021-07-27 17:27:34 UTC
182536,Player #35315,Hello AQS,ubc air quality sensor,,2021-07-27 17:27:06 UTC
182129,Player #35236,Weather app,ubc air quality sensor,"Do you receive information about poor air quality? If so, how? 💻 💬 ",2021-07-26 23:13:35 UTC
182128,Player #35236,"Summer, during forest fire season",ubc air quality sensor,Is there a particular season when you notice air quality becoming worse?,2021-07-26 22:45:55 UTC
182127,Player #35236,For longitudinal monitoring of air quality,ubc air quality sensor,Why do you think I have been put here?,2021-07-26 22:44:18 UTC
182126,Player #35236,No,ubc air quality sensor,"Do you suffer from asthma attacks? (Yes, No)",2021-07-26 22:42:40 UTC
182125,Player #35236,"Low breathability, high particulate matter levels",ubc air quality sensor,What are indicators of poor air quality?,2021-07-26 22:42:26 UTC
182124,Player #35236,HELLO AQS #6,ubc air quality sensor,,2021-07-26 22:41:08 UTC
182093,Player #35231,Hello AQS #1,ubc air quality sensor,,2021-07-26 18:53:52 UTC
181775,Player #35163,No,ubc air quality sensor,"Do you receive information about poor air quality? If so, how? 💻 💬 ",2021-07-26 06:10:53 UTC
181774,Player #35163,I don't know,ubc air quality sensor,What are indicators of poor air quality?,2021-07-26 06:10:40 UTC
181773,Player #35163,Yes,ubc air quality sensor,"In addition to the air quality sensors around UBC, would you like to see air quality sensors around your home and near major traffic intersections? (Yes, No)",2021-07-26 06:10:29 UTC
181772,Player #35163,Rarely,ubc air quality sensor,How often do you think about air pollution and the dangers it has on your health?,2021-07-26 06:10:08 UTC
181771,Player #35163,"Honestly, at this point, CO2 is the biggest issue",ubc air quality sensor,What environmental impact should be of most concern to UBC/Vancouver? 🌍,2021-07-26 06:09:49 UTC
181770,Player #35163,Hello aqs #6,ubc air quality sensor,,2021-07-26 06:08:57 UTC
181768,Player #25003,Rough air matter particulate,ubc air quality sensor,What do you think RAMP stands for?,2021-07-26 05:38:02 UTC
181767,Player #25003,No,ubc air quality sensor,"Do you suffer from asthma attacks? (Yes, No)",2021-07-26 05:35:42 UTC
181766,Player #25003,Yes,ubc air quality sensor,"Would you like to receive notifications about air quality via your mobile phone? 📲 (Yes, No)",2021-07-26 05:35:35 UTC
181765,Player #25003,Very often!,ubc air quality sensor,How often do you think about air pollution and the dangers it has on your health?,2021-07-26 05:35:25 UTC
181764,Player #25003,Less construction!,ubc air quality sensor,How can we improve air quality around UBC?,2021-07-26 05:35:16 UTC
181763,Player #25003,Hello AQS #5,ubc air quality sensor,,2021-07-26 05:34:57 UTC
181762,Player #35162,Online news (e.g cbc online),ubc air quality sensor,"Do you receive information about poor air quality? If so, how? 💻 💬 ",2021-07-26 05:03:26 UTC
181761,Player #35162,Vehicles,ubc air quality sensor,I'm here to identify different sources of pollution - can you name any?,2021-07-26 05:03:01 UTC
181760,Player #35162,Low risk,ubc air quality sensor,"Do you think UBC's campus has been deemed 'Low-Risk' or 'High-Risk', by British Columbia's Air Quality Health Index? ",2021-07-26 05:02:42 UTC
181759,Player #35162,No,ubc air quality sensor,"Would you like to talk to an air quality scientist at UBC? (Yes, No) If yes, please let me know your name and email address and I'll pass your contact details on.",2021-07-26 05:02:32 UTC
181758,Player #35162,Bad smelling air,ubc air quality sensor,What are indicators of poor air quality?,2021-07-26 05:02:17 UTC
181757,Player #35162,Hello AQS #7,ubc air quality sensor,,2021-07-26 05:01:43 UTC
181756,Player #35161,No,ubc air quality sensor,"Do you like to get involved in recreational activities around UBC? (Yes, No)",2021-07-26 02:53:02 UTC
181755,Player #35161,Maybe,ubc air quality sensor,Is there a particular period of the day ⏰when you notice air quality becoming worse?,2021-07-26 02:52:33 UTC
181754,Player #35161,Yes,ubc air quality sensor,"In addition to the air quality sensors around UBC, would you like to see air quality sensors around your home and near major traffic intersections? (Yes, No)",2021-07-26 02:52:16 UTC
181753,Player #35161,HELLO AQS #6,ubc air quality sensor,,2021-07-26 02:51:50 UTC
181609,Player #35110,Hello AQS #1,ubc air quality sensor,,2021-07-24 22:38:56 UTC
181576,Player #35103,Hello AQS #5 how's the air?,ubc air quality sensor,,2021-07-24 17:43:24 UTC
181549,Player #29560,I’m not sure,ubc air quality sensor,"In your opinion, which environmental impact is of most concern to UBC/Vancouver? 🌍",2021-07-24 16:09:35 UTC
181548,Player #29560,Yes,ubc air quality sensor,"In addition to the air quality sensors around UBC, would you like to see air quality sensors around your home and near major traffic intersections? (Yes, No)",2021-07-24 16:09:22 UTC
181547,Player #29560,To educate people,ubc air quality sensor,Why do you think I have been put here?,2021-07-24 16:08:56 UTC
181546,Player #29560,Roads always mop pantries,ubc air quality sensor,What do you think RAMP stands for?,2021-07-24 16:08:38 UTC
181545,Player #29560,No,ubc air quality sensor,"Would you like to receive notifications about air quality via your mobile phone? 📲 (Yes, No)",2021-07-24 16:08:16 UTC
181544,Player #29560,HELLO AQS #6,ubc air quality sensor,,2021-07-24 16:08:06 UTC
181327,Player #35044,Cars,ubc air quality sensor,What kind of air pollution annoys you the most? 😡,2021-07-23 22:17:58 UTC
181326,Player #35044,There is high traffic in the Vicinity since it's next to the bus loop,ubc air quality sensor,Why do you think I have been put here?,2021-07-23 22:17:42 UTC
181325,Player #35044,No,ubc air quality sensor,"Do you suffer from asthma attacks? (Yes, No)",2021-07-23 22:17:12 UTC
181324,Player #35044,Cars,ubc air quality sensor,I'm here to identify different sources of pollution - can you name any?,2021-07-23 22:16:52 UTC
181323,Player #35044,No,ubc air quality sensor,"Do you see an idling (running, but not moving) bus or vehicle? (Yes, No)",2021-07-23 22:16:32 UTC
181322,Player #35044,Hello aqs #7,ubc air quality sensor,,2021-07-23 22:16:10 UTC
181318,Player #35043,yes,ubc air quality sensor,"Would you like to receive notifications about air quality via your mobile phone? 📲 (Yes, No)",2021-07-23 20:50:52 UTC
181317,Player #35043,no,ubc air quality sensor,"Do you suffer from asthma attacks? (Yes, No)",2021-07-23 20:50:14 UTC
181316,Player #35043,today,ubc air quality sensor,Is there a particular period of the day ⏰when you notice air quality becoming worse?,2021-07-23 20:50:05 UTC
181315,Player #35043,Hello AQS #2,ubc air quality sensor,,2021-07-23 20:49:40 UTC
181314,Player #35042,A few,ubc air quality sensor,I'm here to identify different sources of pollution - can you name any?,2021-07-23 20:14:43 UTC
181313,Player #35042,Yes,ubc air quality sensor,"In addition to the air quality sensors around UBC, would you like to see air quality sensors around your home and near major traffic intersections? (Yes, No)",2021-07-23 20:10:20 UTC
181312,Player #35042,Yes,ubc air quality sensor,"Do you like to get involved in recreational activities around UBC? (Yes, No)",2021-07-23 20:09:57 UTC
181311,Player #35042,Hello AQS #5,ubc air quality sensor,,2021-07-23 20:09:31 UTC
181278,Player #35034,Hello AQS #6,ubc air quality sensor,,2021-07-23 18:07:13 UTC
181126,Player #35006,HELLO AQS #8,ubc air quality sensor,,2021-07-23 06:13:31 UTC
181125,Player #35005,Hello AQS #6,ubc air quality sensor,,2021-07-23 02:33:53 UTC
181087,Player #34999,No clue?,ubc air quality sensor,What do you think RAMP stands for?,2021-07-22 20:25:35 UTC
181086,Player #34999,Hello AQS #2,ubc air quality sensor,,2021-07-22 20:25:06 UTC
180973,Player #34985,"I think Vancouver is pretty clean, so just when forest fire smoke blows over is probably when I'm most exposed ",ubc air quality sensor,Where do you think you are exposed to the most air pollution?,2021-07-22 15:53:41 UTC
180969,Player #34985,"It's pretty good here, maybe just some improved air flown in dorms would be nice ",ubc air quality sensor,How can we improve air quality around UBC?,2021-07-22 15:52:24 UTC
180966,Player #34985,Rising sea levels and heat waves,ubc air quality sensor,"In your opinion, which environmental impact is of most concern to UBC/Vancouver? 🌍",2021-07-22 15:51:50 UTC
180964,Player #34985,No,ubc air quality sensor,"Do you drive to campus? 🚗 (Yes, No)",2021-07-22 15:51:26 UTC
180963,Player #34985,Yes,ubc air quality sensor,"Would you like to receive notifications about air quality via your mobile phone? 📲 (Yes, No)",2021-07-22 15:51:19 UTC
180961,Player #34985,Hello AQS #6,ubc air quality sensor,,2021-07-22 15:50:57 UTC
180876,Player #34969,No,ubc air quality sensor,"Do you feel like you know a lot about air pollution on UBC campus? (Yes, No)",2021-07-22 13:12:46 UTC
180873,Player #34969,Hello AQS #1,ubc air quality sensor,,2021-07-22 13:11:56 UTC
180660,Player #34938,Yes,ubc air quality sensor,"Do you like to get involved in recreational activities around UBC? (Yes, No)",2021-07-22 01:13:48 UTC
180659,Player #34938,No,ubc air quality sensor,Is there a particular period of the day ⏰when you notice air quality becoming worse?,2021-07-22 01:13:43 UTC
180658,Player #34938,Hello AQS #6,ubc air quality sensor,,2021-07-22 01:13:14 UTC
180651,Player #34937,Hello AQS #7,ubc air quality sensor,,2021-07-21 23:22:21 UTC
180637,Player #34932,Hello AQS #1,ubc air quality sensor,,2021-07-21 19:30:34 UTC
180595,Player #12947,No,ubc air quality sensor,"Do you see an idling (running, but not moving) bus or vehicle? (Yes, No)",2021-07-21 18:12:22 UTC
180594,Player #12947,No,ubc air quality sensor,"Do you suffer from asthma attacks? (Yes, No)",2021-07-21 18:12:07 UTC
180592,Player #12947,Parking garage,ubc air quality sensor,Where do you think you are exposed to the most air pollution?,2021-07-21 18:11:56 UTC
180590,Player #12947,Low risk,ubc air quality sensor,"Do you think UBC's campus has been deemed 'Low-Risk' or 'High-Risk', by British Columbia's Air Quality Health Index? ",2021-07-21 18:11:19 UTC
180584,Player #12947,Cars,ubc air quality sensor,I'm here to identify different sources of pollution - can you name any?,2021-07-21 18:10:49 UTC
180582,Player #12947,Hello AQS #5,ubc air quality sensor,,2021-07-21 18:10:35 UTC
180481,Player #34909,test,ubc air quality sensor,What do you think RAMP stands for?,2021-07-21 12:34:35 UTC
180480,Player #34909,no,ubc air quality sensor,"Do you like to get involved in recreational activities around UBC? (Yes, No)",2021-07-21 12:34:22 UTC
180479,Player #34909,yes,ubc air quality sensor,"Do you drive to campus? 🚗 (Yes, No)",2021-07-21 12:34:13 UTC
180478,Player #34909,no,ubc air quality sensor,"Would you like to receive notifications about air quality via your mobile phone? 📲 (Yes, No)",2021-07-21 12:34:06 UTC
180477,Player #34909,test,ubc air quality sensor,"In your opinion, what are the biggest sources of air pollution on UBC's campus? ",2021-07-21 12:33:55 UTC
180476,Player #34909,hello aqs #2,ubc air quality sensor,,2021-07-21 12:33:44 UTC
180474,Player #34909,test,ubc air quality sensor,How can we improve air quality around UBC?,2021-07-21 12:32:12 UTC
180473,Player #34909,test,ubc air quality sensor,"Do you receive information about poor air quality? If so, how? 💻 💬 ",2021-07-21 12:32:06 UTC
180472,Player #34909,5,ubc air quality sensor,"On a scale of 1-5, what do you think of the air quality on UBC's campus? (1 being very poor, 5 being very good). ",2021-07-21 12:31:22 UTC
180471,Player #34909,cars,ubc air quality sensor,"In your opinion, which environmental impact is of most concern to UBC/Vancouver? 🌍",2021-07-21 12:30:41 UTC
180470,Player #34909,test,ubc air quality sensor,Where do you think you are exposed to the most air pollution?,2021-07-21 12:30:21 UTC
180469,Player #34909,Hello aqs #1,ubc air quality sensor,,2021-07-21 12:26:48 UTC
180444,Player #34907,test,ubc air quality sensor,How often do you think about air pollution and the dangers it has on your health?,2021-07-21 11:41:06 UTC
180443,Player #34907,test,ubc air quality sensor,Why do you think I have been put here?,2021-07-21 11:41:03 UTC
180442,Player #34907,test,ubc air quality sensor,"Do you drive to campus? 🚗 (Yes, No)",2021-07-21 11:41:00 UTC
180441,Player #34907,test,ubc air quality sensor,How can we improve air quality around UBC?,2021-07-21 11:40:58 UTC
180440,Player #34907,test,ubc air quality sensor,Is there a particular period of the day ⏰when you notice air quality becoming worse?,2021-07-21 11:40:56 UTC
180439,Player #34907,Hello AQS #8,ubc air quality sensor,,2021-07-21 11:40:53 UTC
180438,Player #34906,No,ubc air quality sensor,"Are you satisfied with the current modes of communication (news) regarding air pollution exposure, around campus? (Yes, No) If no, how can it be improved?",2021-07-21 11:40:01 UTC
180437,Player #34906,Test,ubc air quality sensor,What environmental impact should be of most concern to UBC/Vancouver? 🌍,2021-07-21 11:39:56 UTC
180436,Player #34906,Yes,ubc air quality sensor,"Would you like to receive notifications about air quality via your mobile phone? 📲 (Yes, No)",2021-07-21 11:39:51 UTC
180435,Player #34906,Low,ubc air quality sensor,"Would you rather 'High-quality' sensors at a few locations on UBC's campus, or 'Low-cost' sensors at every intersection on UBC campus? Please respond to this message with 'High' or 'Low'.",2021-07-21 11:39:46 UTC
180434,Player #34906,Hello AQS #6,ubc air quality sensor,,2021-07-21 11:39:42 UTC
180433,Player #34905,Hello AQS #5,ubc air quality sensor,,2021-07-21 11:39:29 UTC
180431,Player #34904,test,ubc air quality sensor,"Do you see an idling (running, but not moving) bus or vehicle? (Yes, No)",2021-07-21 11:38:05 UTC
180430,Player #34904,tets,ubc air quality sensor,Is there a particular period of the day ⏰when you notice air quality becoming worse?,2021-07-21 11:38:03 UTC
180429,Player #34904,test,ubc air quality sensor,What are indicators of poor air quality?,2021-07-21 11:38:00 UTC
180428,Player #34904,High,ubc air quality sensor,"Would you rather 'High-quality' sensors at a few locations on UBC's campus, or 'Low-cost' sensors at every intersection on UBC campus? Please respond to this message with 'High' or 'Low'.",2021-07-21 11:37:57 UTC
180427,Player #34904,Hello AQS #4,ubc air quality sensor,,2021-07-21 11:37:50 UTC
180426,Player #34903,test,ubc air quality sensor,How do you think smartphones will affect family relationships in the future?,2021-07-21 11:34:18 UTC
180425,Player #34903,tets,ubc air quality sensor,What environmental impact should be of most concern to UBC/Vancouver? 🌍,2021-07-21 11:33:53 UTC
180424,Player #34903,test,ubc air quality sensor,Is there a particular season when you notice air quality becoming worse?,2021-07-21 11:33:46 UTC
180423,Player #34903,test,ubc air quality sensor,"In your opinion, what are the biggest sources of air pollution on UBC's campus? ",2021-07-21 11:33:41 UTC
180422,Player #34903,test,ubc air quality sensor,How can we improve air quality around UBC?,2021-07-21 11:33:37 UTC
180421,Player #34903,Hello AQS #3,ubc air quality sensor,,2021-07-21 11:33:33 UTC
180383,Player #34897,test,ubc air quality sensor,I'm here to identify different sources of pollution - can you name any?,2021-07-21 11:04:15 UTC
180382,Player #34897,Hello AQS #1,ubc air quality sensor,,2021-07-21 11:04:05 UTC
180377,Player #34893,test,ubc air quality sensor,How long does it take you to get ready in the morning?,2021-07-21 10:57:35 UTC
180375,Player #34893,tets,ubc air quality sensor,What do you think RAMP stands for?,2021-07-21 10:57:30 UTC
180374,Player #34893,Hello AQS #1,ubc air quality sensor,,2021-07-21 10:57:23 UTC
180288,Player #34875,Hello AQS #1,ubc air quality sensor,,2021-07-21 06:39:18 UTC
180263,,Hello AQS #1,ubc air quality sensor,,2021-07-20 20:32:58 UTC
180202,Player #34860,test,ubc air quality sensor,"Do you like to get involved in recreational activities around UBC? (Yes, No)",2021-07-20 15:40:18 UTC
180201,Player #34860,Hello AQS #4,ubc air quality sensor,,2021-07-20 15:40:11 UTC
180200,Player #34859,Hello AQS #6,ubc air quality sensor,,2021-07-20 15:32:25 UTC
180199,Player #34859,Hello AQS #3,ubc air quality sensor,,2021-07-20 15:29:06 UTC
180198,Player #34858,Hello AQS #2,ubc air quality sensor,,2021-07-20 15:27:23 UTC
180197,Player #34857,Hello AQS #1,ubc air quality sensor,,2021-07-20 15:19:09 UTC
180194,Player #34855,test,ubc air quality sensor,Are you an introvert or an extrovert?,2021-07-20 14:51:44 UTC
180193,Player #34855,test,ubc air quality sensor,"If money was no object, what would you do all day?",2021-07-20 14:51:39 UTC
180192,Player #34855,test,ubc air quality sensor,"Before talking to me, what was the last thing you used your phone for?",2021-07-20 14:51:34 UTC
180191,Player #34855,test,ubc air quality sensor,Where do you think you are exposed to the most air pollution?,2021-07-20 14:51:24 UTC
180190,Player #34855,Hello Air Quality,ubc air quality sensor,,2021-07-20 14:50:51 UTC
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,